year,season,location,organism,n,tl_mean,tl_sd,tl_min,tl_max
2022,Spring,Creek,common shiner,5,NA,NA,NA,NA
2022,Spring,Creek,golden shiner,7,122.9,11.7,104,138
2022,Spring,Lake,common shiner,1,139,NA,139,139
2022,Spring,Lake,golden shiner,3,126.3,12.1,115,139
2022,Summer,Lake,common shiner,1,143,NA,143,143
2022,Summer,Lake,golden shiner,1,172,NA,172,172
2022,Fall,Creek,golden shiner,1,110,NA,110,110
2023,Spring,Creek,common shiner,18,117.2,30.1,57,172
2023,Spring,Creek,golden shiner,20,NA,NA,NA,NA
2023,Spring,Lake,common shiner,6,148.3,7.4,140,161
2023,Spring,Lake,golden shiner,12,122.6,22.8,81,165
2023,Summer,Creek,common shiner,5,108,24.7,70,133
2023,Summer,Creek,golden shiner,10,109.5,10.6,94,128
2023,Fall,Creek,common shiner,15,NA,NA,NA,NA
2023,Fall,Creek,golden shiner,6,115,11,96,126
2023,Fall,Lake,golden shiner,7,135.7,9.9,120,148
2024,Spring,Creek,common shiner,14,126.4,13.3,109,151
2024,Spring,Creek,golden shiner,13,115,10.8,100,133
2024,Spring,Lake,common shiner,15,NA,NA,NA,NA
2024,Spring,Lake,golden shiner,12,111.3,7.8,93,122
2024,Summer,Creek,common shiner,10,119,16.7,82,135
2024,Summer,Creek,golden shiner,10,105.6,17,75,137
2024,Summer,Lake,golden shiner,1,139,NA,139,139
2024,Fall,Creek,common shiner,22,108.4,13.2,89,128
2024,Fall,Creek,golden shiner,21,NA,NA,NA,NA
2024,Fall,Lake,common shiner,5,144.4,9.2,136,160
2024,Fall,Lake,golden shiner,11,118.8,12.2,101,134
